2020-06-03 17:27:04.116 [main] INFO  com.alibaba.druid.pool.DruidDataSource[DruidDataSource.java:854] --  {dataSource-1} inited
 2020-06-03 17:27:06.239 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 17:27:11.062 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 17:27:11.385 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/{0}/pom.xml
 2020-06-03 17:27:11.389 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/{0}/readme.md
 2020-06-03 17:27:11.393 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/jsconfig.json
 2020-06-03 17:27:11.395 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/LICENSE
 2020-06-03 17:27:11.396 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/webstorm.config.js
 2020-06-03 17:27:11.397 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.env.preview
 2020-06-03 17:27:11.399 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/jest.config.js
 2020-06-03 17:27:11.400 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/tests/unit/.eslintrc.js
 2020-06-03 17:27:11.402 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.classpath
 2020-06-03 17:27:11.404 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.editorconfig
 2020-06-03 17:27:11.407 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/README.md
 2020-06-03 17:27:11.408 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/loading/option2/loading.svg
 2020-06-03 17:27:11.409 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/loading/option2/loading.css
 2020-06-03 17:27:11.417 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/loading/option2/html_code_segment.html
 2020-06-03 17:27:11.422 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/loading/loading.css
 2020-06-03 17:27:11.423 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/loading/loading.html
 2020-06-03 17:27:11.425 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/logo.png
 2020-06-03 17:27:11.482 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/color.less
 2020-06-03 17:27:11.495 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/public/avatar2.jpg
 2020-06-03 17:27:11.499 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/babel.config.js
 2020-06-03 17:27:11.501 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/package.json
 2020-06-03 17:27:11.502 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.env
 2020-06-03 17:27:11.504 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.project
 2020-06-03 17:27:11.506 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/vue.config.js
 2020-06-03 17:27:11.507 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.prettierrc
 2020-06-03 17:27:11.508 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/.travis.yml
 2020-06-03 17:27:11.510 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/App.vue
 2020-06-03 17:27:11.513 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/directives/action.js
 2020-06-03 17:27:11.514 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/icons.js
 2020-06-03 17:27:11.516 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/bootstrap.js
 2020-06-03 17:27:11.517 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/lazy_use.js
 2020-06-03 17:27:11.518 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/use.js
 2020-06-03 17:27:11.521 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/core/lazy_lib/components_use.js
 2020-06-03 17:27:11.522 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/config/router.config.js
 2020-06-03 17:27:11.524 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/config/defaultSettings.js
 2020-06-03 17:27:11.525 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/util.js
 2020-06-03 17:27:11.527 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/index.js
 2020-06-03 17:27:11.530 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/other.js
 2020-06-03 17:27:11.553 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/user.js
 2020-06-03 17:27:11.558 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/auth.js
 2020-06-03 17:27:11.563 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/tagCloud.js
 2020-06-03 17:27:11.567 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/manage.js
 2020-06-03 17:27:11.571 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/mock/services/article.js
 2020-06-03 17:27:11.575 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/permission.js
 2020-06-03 17:27:11.600 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/utils/util.js
 2020-06-03 17:27:11.604 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/utils/device.js
 2020-06-03 17:27:11.606 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/templates/modules/vue/src/utils/axios.js
