2020-06-03 18:34:09.997 [main] INFO  com.alibaba.druid.pool.DruidDataSource[DruidDataSource.java:854] --  {dataSource-1} inited
 2020-06-03 18:34:11.919 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:34:17.116 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:35:02.678 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/api/pom.xml
 2020-06-03 18:35:02.684 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/api/readme.md
 2020-06-03 18:35:02.750 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/parent/pom.xml
 2020-06-03 18:35:02.755 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/parent/readme.md
 2020-06-03 18:35:02.809 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/app/pom.xml
 2020-06-03 18:35:02.814 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/app/readme.md
 2020-06-03 18:35:02.940 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/jsconfig.json
 2020-06-03 18:35:02.945 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/LICENSE
 2020-06-03 18:35:02.949 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/webstorm.config.js
 2020-06-03 18:35:02.953 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.env.preview
 2020-06-03 18:35:02.955 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/jest.config.js
 2020-06-03 18:35:02.956 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/tests/unit/.eslintrc.js
 2020-06-03 18:35:02.958 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.classpath
 2020-06-03 18:35:02.966 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.editorconfig
 2020-06-03 18:35:02.969 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/README.md
 2020-06-03 18:35:02.971 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/loading.svg
 2020-06-03 18:35:02.972 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/loading.css
 2020-06-03 18:35:02.975 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/html_code_segment.html
 2020-06-03 18:35:02.979 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/loading.css
 2020-06-03 18:35:02.980 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/loading.html
 2020-06-03 18:35:02.982 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/logo.png
 2020-06-03 18:35:02.986 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/color.less
 2020-06-03 18:35:03.006 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/avatar2.jpg
 2020-06-03 18:35:03.014 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/babel.config.js
 2020-06-03 18:35:03.018 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/package.json
 2020-06-03 18:35:03.021 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.env
 2020-06-03 18:35:03.025 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.project
 2020-06-03 18:35:03.027 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/vue.config.js
 2020-06-03 18:35:03.030 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.prettierrc
 2020-06-03 18:35:03.034 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.travis.yml
 2020-06-03 18:35:03.037 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/App.vue
 2020-06-03 18:35:03.041 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/directives/action.js
 2020-06-03 18:35:03.044 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/icons.js
 2020-06-03 18:35:03.046 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/bootstrap.js
 2020-06-03 18:35:03.053 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/lazy_use.js
 2020-06-03 18:35:03.054 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/use.js
