2020-06-03 18:11:32.393 [main] INFO  com.alibaba.druid.pool.DruidDataSource[DruidDataSource.java:854] --  {dataSource-1} inited
 2020-06-03 18:11:34.507 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:11:40.709 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:11:41.065 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/api/pom.xml
 2020-06-03 18:11:41.069 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/api/readme.md
 2020-06-03 18:11:41.073 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/jsconfig.json
 2020-06-03 18:11:41.076 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/LICENSE
 2020-06-03 18:11:41.080 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/webstorm.config.js
 2020-06-03 18:11:41.081 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.env.preview
 2020-06-03 18:11:41.084 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/jest.config.js
 2020-06-03 18:11:41.086 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/tests/unit/.eslintrc.js
 2020-06-03 18:11:41.087 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.classpath
 2020-06-03 18:11:41.089 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.editorconfig
 2020-06-03 18:11:41.092 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/README.md
 2020-06-03 18:11:41.095 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/loading.svg
 2020-06-03 18:11:41.098 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/loading.css
 2020-06-03 18:11:41.103 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/option2/html_code_segment.html
 2020-06-03 18:11:41.104 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/loading.css
 2020-06-03 18:11:41.107 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/loading/loading.html
 2020-06-03 18:11:41.108 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/logo.png
 2020-06-03 18:11:41.161 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/color.less
 2020-06-03 18:11:41.185 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/public/avatar2.jpg
 2020-06-03 18:11:41.196 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/babel.config.js
 2020-06-03 18:11:41.211 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/package.json
 2020-06-03 18:11:41.217 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.env
 2020-06-03 18:11:41.220 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.project
 2020-06-03 18:11:41.230 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/vue.config.js
 2020-06-03 18:11:41.232 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.prettierrc
 2020-06-03 18:11:41.233 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/.travis.yml
 2020-06-03 18:11:41.235 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/App.vue
 2020-06-03 18:11:41.239 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/directives/action.js
 2020-06-03 18:11:41.244 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/icons.js
 2020-06-03 18:11:41.247 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/bootstrap.js
 2020-06-03 18:11:41.250 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/lazy_use.js
 2020-06-03 18:11:41.251 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/use.js
 2020-06-03 18:11:41.252 [main] WARN  org.hyw.tools.generator.Generator[Generator.java:169] --  override:/Users/a123/workspace/demo/vue/src/core/lazy_lib/components_use.js
