2020-06-03 18:02:23.542 [main] INFO  com.alibaba.druid.pool.DruidDataSource[DruidDataSource.java:854] --  {dataSource-1} inited
 2020-06-03 18:02:25.649 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:02:31.808 [main] INFO  org.hyw.tools.generator.AbstractGenerator[AbstractGenerator.java:67] --  开始读取数据库元数据...
 2020-06-03 18:04:58.507 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/api/pom.xml
 2020-06-03 18:04:58.518 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/api/readme.md
 2020-06-03 18:04:58.526 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/jsconfig.json
 2020-06-03 18:04:58.534 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/LICENSE
 2020-06-03 18:04:58.539 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/webstorm.config.js
 2020-06-03 18:04:58.549 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/.env.preview
 2020-06-03 18:04:58.555 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/jest.config.js
 2020-06-03 18:04:58.564 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/tests/unit/.eslintrc.js
 2020-06-03 18:04:58.567 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/.classpath
 2020-06-03 18:04:58.570 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/.editorconfig
 2020-06-03 18:04:58.574 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/README.md
 2020-06-03 18:04:58.577 [main] INFO  org.hyw.tools.generator.Generator[Generator.java:171] --  generator file:/Users/a123/workspace/demo/vue/public/loading/option2/loading.svg
